population,source_row,input_smiles,canonical_isomeric_smiles,canonical_formal_charge,docking_score,step,batch_idx,task,model,PPS_best_variant
PPS,0,Cc1nc(N)nc(-c2ccoc2C2CCOCC2)n1,Cc1nc(N)nc(-c2ccoc2C2CCOCC2)n1,0,-4.31099,0,0,PPS_tester_run_2,RNN,0_0-1
PPS,1,Cc1ccc(Oc2ccc(F)cc2F)c(C)c1C=CC(=O)O,Cc1ccc(Oc2ccc(F)cc2F)c(C)c1C=CC(=O)O,0,-7.8513,0,1,PPS_tester_run_2,RNN,0_1-1
PPS,2,CCN(CC)CC1CCC(Nc2nc(N)n3nc(-c4ccco4)nc3n2)CC1,CCN(CC)CC1CCC(Nc2nc(N)n3nc(-c4ccco4)nc3n2)CC1,0,-6.29937,0,2,PPS_tester_run_2,RNN,0_2-1
PPS,3,Cc1ccc(S(=O)(=O)n2nc3ccccc3c2N)cc1,Cc1ccc(S(=O)(=O)n2nc3ccccc3c2N)cc1,0,-7.33061,0,3,PPS_tester_run_2,RNN,0_3-1
PPS,4,O=C(NCc1ccccn1)c1cn(Cc2cccc(F)c2)nc1-c1nc2ccccc2o1,O=C(NCc1ccccn1)c1cn(Cc2cccc(F)c2)nc1-c1nc2ccccc2o1,0,-8.45743,0,4,PPS_tester_run_2,RNN,0_4-1
PPS,5,O=C(Nc1ccc(C(=O)N2CCC(O)(c3ccc(F)cc3)CC2)c(Cl)c1)c1ncco1,O=C(Nc1ccc(C(=O)N2CCC(O)(c3ccc(F)cc3)CC2)c(Cl)c1)c1ncco1,0,-7.49573,0,5,PPS_tester_run_2,RNN,0_5-1
PPS,6,Nc1ncc(CN2CCc3ccsc3C2)c(N)n1,Nc1ncc(CN2CCc3ccsc3C2)c(N)n1,0,-7.71955,0,6,PPS_tester_run_2,RNN,0_6-5
PPS,7,CCN1CCC(c2ccc(Br)cc2)C(=NOCCOC)C1,CCN1CCC(c2ccc(Br)cc2)C(=NOCCOC)C1,0,-6.88688,0,7,PPS_tester_run_2,RNN,0_7-3
PPS,8,CCCCOC(=O)C(N)CC1NC(C)C(=O)NO1,CCCCOC(=O)C(N)CC1NC(C)C(=O)NO1,0,-5.36385,0,8,PPS_tester_run_2,RNN,0_8-1
PPS,9,Cc1cc(C(=O)CN2C(=O)C(c3ccc(Cl)cc3)C3=C(O)CC(C#N)=C(N)N=C32)ccc1F,Cc1cc(C(=O)CN2C(=O)C(c3ccc(Cl)cc3)C3=C(O)CC(C#N)=C(N)N=C32)ccc1F,0,-4.45578,0,9,PPS_tester_run_2,RNN,0_9-1
PPS,10,Nc1cc(-c2nc3c4c(c(N)nc3[nH]2)OCC4)ccn1,Nc1cc(-c2nc3c4c(c(N)nc3[nH]2)OCC4)ccn1,0,-6.12278,0,10,PPS_tester_run_2,RNN,0_10-2
PPS,12,CNCCN1CCC(N2Cc3cccc(SC)c3C2=O)CC1,CNCCN1CCC(N2Cc3cccc(SC)c3C2=O)CC1,0,-8.16039,0,12,PPS_tester_run_2,RNN,0_12-1
PPS,13,COc1ccc2c(c1)C(=O)N(CC1(C#Cc3ccc(C#Cc4cnc(OCCCO)nc4)cc3)NC(=O)NC1=O)C2,COc1ccc2c(c1)C(=O)N(CC1(C#Cc3ccc(C#Cc4cnc(OCCCO)nc4)cc3)NC(=O)NC1=O)C2,0,-5.23757,0,13,PPS_tester_run_2,RNN,0_13-1
PPS,14,Cc1cccc(OCC(=O)N2CC(N(C)C)c3ccccc3-c3ccccc32)c1,Cc1cccc(OCC(=O)N2CC(N(C)C)c3ccccc3-c3ccccc32)c1,0,-3.31835,0,14,PPS_tester_run_2,RNN,0_14-3
PPS,15,CN(C(=O)C(N)Cc1ccccc1)C1Cc2ccccc2CN1S(=O)(=O)c1ccccc1,CN(C(=O)C(N)Cc1ccccc1)C1Cc2ccccc2CN1S(=O)(=O)c1ccccc1,0,-6.15445,0,15,PPS_tester_run_2,RNN,0_15-4
PPS,16,O=C(CSc1nccs1)NCCc1ccc2c(c1)OCCO2,O=C(CSc1nccs1)NCCc1ccc2c(c1)OCCO2,0,-7.86522,0,16,PPS_tester_run_2,RNN,0_16-1
PPS,17,Cc1cc(CN2C(=O)C(=O)N(CC3CCNCC3F)C2=O)no1,Cc1cc(CN2C(=O)C(=O)N(CC3CCNCC3F)C2=O)no1,0,-8.43759,0,17,PPS_tester_run_2,RNN,0_17-2
PPS,18,CN1C(=O)C(=Cc2cccnc2)Sc2ccc(C(=O)Nc3nccs3)cc21,CN1C(=O)C(=Cc2cccnc2)Sc2ccc(C(=O)Nc3nccs3)cc21,0,-8.66625,0,18,PPS_tester_run_2,RNN,0_18-1
PPS,19,N#CCOC(=O)N1CCC(c2nccnc2N2CCN(C(=O)Cc3ccc(OC(F)F)cc3)CC2)C1,N#CCOC(=O)N1CCC(c2nccnc2N2CCN(C(=O)Cc3ccc(OC(F)F)cc3)CC2)C1,0,-9.07047,0,19,PPS_tester_run_2,RNN,0_19-2
PPS,20,COc1cc(C#N)ccc1CC(C)Oc1ccc(Cl)cc1C(N)=O,COc1cc(C#N)ccc1CC(C)Oc1ccc(Cl)cc1C(N)=O,0,-7.52695,0,20,PPS_tester_run_2,RNN,0_20-1
PPS,21,CC1CN(c2ccc3ncc(-c4ccc(C#N)cc4)n3n2)CC(C)O1,CC1CN(c2ccc3ncc(-c4ccc(C#N)cc4)n3n2)CC(C)O1,0,-6.65553,0,21,PPS_tester_run_2,RNN,0_21-3
PPS,22,CN1C(CO)C(O)C(O)C(O)C1c1ccc(Cl)cc1O,CN1C(CO)C(O)C(O)C(O)C1c1ccc(Cl)cc1O,0,-6.81561,0,22,PPS_tester_run_2,RNN,0_22-2
PPS,23,Cc1nc2c(n3c(-c4ccccc4)nnc13)CCCO2,Cc1nc2c(n3c(-c4ccccc4)nnc13)CCCO2,0,-5.05469,0,23,PPS_tester_run_2,RNN,0_23-1
PPS,24,CC#CCN1CC(O)(c2ccc(Oc3cccc(C#N)c3)cc2)C(=O)C1=O,CC#CCN1CC(O)(c2ccc(Oc3cccc(C#N)c3)cc2)C(=O)C1=O,0,-8.46007,0,24,PPS_tester_run_2,RNN,0_24-2
PPS,25,CC(C)n1nnnc1S,CC(C)n1nnnc1S,0,-3.93592,0,25,PPS_tester_run_2,RNN,0_25-1
PPS,26,CNC(=O)C12CC1C(n1cnc3c(N4CCCC4=O)nc(-c4cccc(CO)c4)nc31)C(O)C2O,CNC(=O)C12CC1C(n1cnc3c(N4CCCC4=O)nc(-c4cccc(CO)c4)nc31)C(O)C2O,0,-6.91047,0,26,PPS_tester_run_2,RNN,0_26-1
PPS,27,Nc1nc(-c2ccc3ncccc3c2)nn1C(=O)NCCCCc1ccccc1,Nc1nc(-c2ccc3ncccc3c2)nn1C(=O)NCCCCc1ccccc1,0,-7.745,0,27,PPS_tester_run_2,RNN,0_27-1
PPS,28,Cc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc3oc(=O)ccc3c2)cc1,Cc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc3oc(=O)ccc3c2)cc1,0,-5.99415,0,28,PPS_tester_run_2,RNN,0_28-1
PPS,29,Cc1c(CCO)sc(=O)n1Cc1ccc(F)cc1,Cc1c(CCO)sc(=O)n1Cc1ccc(F)cc1,0,-7.90589,0,29,PPS_tester_run_2,RNN,0_29-1
PPS,30,CC(C)n1ncc2c(NC3CCN(Cc4nc5ccccn5n4)CC3)c(C(N)=O)cnc21,CC(C)n1ncc2c(NC3CCN(Cc4nc5ccccn5n4)CC3)c(C(N)=O)cnc21,0,-9.316,0,30,PPS_tester_run_2,RNN,0_30-1
PPS,31,CCCc1ccc(C2C(c3ccccc3)CC(=O)N2CCC(=O)N2CCCC2)cc1,CCCc1ccc(C2C(c3ccccc3)CC(=O)N2CCC(=O)N2CCCC2)cc1,0,-7.65856,0,31,PPS_tester_run_2,RNN,0_31-1
PPS,32,OCC12CCC(c3ccc(Cl)c(Cl)c3)(CNC1)C2,OCC12CCC(c3ccc(Cl)c(Cl)c3)(CNC1)C2,0,-7.54309,0,32,PPS_tester_run_2,RNN,0_32-2
PPS,33,CCc1ncnc(N2CCN(C)CC2)c1C#Cc1cnc(N2CCCC2)s1,CCc1ncnc(N2CCN(C)CC2)c1C#Cc1cnc(N2CCCC2)s1,0,-5.89108,0,33,PPS_tester_run_2,RNN,0_33-2
PPS,34,COc1ccc(C2=Nc3ccc4c5c(ccc4c3C2=O)C(C)(C)N(CC(=O)N(O)CC2CCS(=O)(=O)C2)C5=O)cn1,COc1ccc(C2=Nc3ccc4c5c(ccc4c3C2=O)C(C)(C)N(CC(=O)N(O)CC2CCS(=O)(=O)C2)C5=O)cn1,0,-3.7039,0,34,PPS_tester_run_2,RNN,0_34-2
PPS,35,Cc1c2c(c(O)c3ccccc13)C(=O)CC(c1cn(C)c3ccccc13)O2,Cc1c2c(c(O)c3ccccc13)C(=O)CC(c1cn(C)c3ccccc13)O2,0,-6.33616,0,35,PPS_tester_run_2,RNN,0_35-1
PPS,36,CCc1cc(-c2ccc(OCC(O)CN3CCc4ccccc4C3)c(Br)c2)ncn1,CCc1cc(-c2ccc(OCC(O)CN3CCc4ccccc4C3)c(Br)c2)ncn1,0,-7.92256,0,36,PPS_tester_run_2,RNN,0_36-2
PPS,38,N#Cc1ccccc1OCc1ccc(CN2CCCC2=O)cc1,N#Cc1ccccc1OCc1ccc(CN2CCCC2=O)cc1,0,-7.85708,0,38,PPS_tester_run_2,RNN,0_38-1
PPS,39,CCCn1c(CNC(=O)c2nc(-c3ccc4c(ccn4C)c3)cs2)cnc1C,CCCn1c(CNC(=O)c2nc(-c3ccc4c(ccn4C)c3)cs2)cnc1C,0,-7.98551,0,39,PPS_tester_run_2,RNN,0_39-1
PPS,40,Cc1nc(N2CCN(c3nc(Nc4cccc(S(N)(=O)=O)c4)cc(N4CCN(C)CC4)n3)CC2)cc(C(F)(F)F)n1,Cc1nc(N2CCN(c3nc(Nc4cccc(S(N)(=O)=O)c4)cc(N4CCN(C)CC4)n3)CC2)cc(C(F)(F)F)n1,0,-5.61981,0,40,PPS_tester_run_2,RNN,0_40-1
PPS,41,O=C(Cn1c(=O)ccc2oc3ccccc3c21)OCC(=O)c1ccc(Br)cc1,O=C(Cn1c(=O)ccc2oc3ccccc3c21)OCC(=O)c1ccc(Br)cc1,0,-6.68941,0,41,PPS_tester_run_2,RNN,0_41-1
PPS,42,CNc1nc2nc(-c3ccc4c(c3)OC(c3ccccc3)C4)cnc2s1,CNc1nc2nc(-c3ccc4c(c3)OC(c3ccccc3)C4)cnc2s1,0,-8.15299,0,42,PPS_tester_run_2,RNN,0_42-1
