population,source_row,input_smiles,canonical_isomeric_smiles,canonical_formal_charge,docking_score,step,batch_idx,task,model,PR_best_variant
PR,1,CC(C)n1cnc2c(NC3CCOC3)c(C#N)cnc21,CC(C)n1cnc2c(NC3CCOC3)c(C#N)cnc21,0,-6.97686,0,1,PR_run,SMILES-RNN,0_1-1
PR,2,CC(C)C1CN(c2ccncc2NC(=O)c2ccc3c(c2)N(C)C(=O)C3(C)C)CCN1C(=O)N1CCOCC1,CC(C)C1CN(c2ccncc2NC(=O)c2ccc3c(c2)N(C)C(=O)C3(C)C)CCN1C(=O)N1CCOCC1,0,-5.50333,0,2,PR_run,SMILES-RNN,0_2-1
PR,3,CCNC(=O)Nc1ccc2c(c1)CCON2C(=O)Cc1ccccc1OC,CCNC(=O)Nc1ccc2c(c1)CCON2C(=O)Cc1ccccc1OC,0,-6.07938,0,3,PR_run,SMILES-RNN,0_3-1
PR,4,Cc1cc(C)n(CC(=O)Nc2ccc(F)c(C)c2)n1,Cc1cc(C)n(CC(=O)Nc2ccc(F)c(C)c2)n1,0,-5.44699,0,4,PR_run,SMILES-RNN,0_4-1
PR,5,C=CCON=C(C(=O)N1CCN(CC2CCO2)CC1C)c1ccccc1,C=CCON=C(C(=O)N1CCN(CC2CCO2)CC1C)c1ccccc1,0,-5.51133,0,5,PR_run,SMILES-RNN,0_5-10
PR,6,c1ccc2c(c1)nnn2C1CN2CCC1CC2,c1ccc2c(c1)nnn2C1CN2CCC1CC2,0,-6.04304,0,6,PR_run,SMILES-RNN,0_6-2
PR,7,C=CCN1c2ccc(F)cc2-c2ncccc2S1(=O)=O,C=CCN1c2ccc(F)cc2-c2ncccc2S1(=O)=O,0,-5.78762,0,7,PR_run,SMILES-RNN,0_7-1
PR,8,C#CCN(C)CC(C(=O)NO)N1C(=O)Cc2ccccc21,C#CCN(C)CC(C(=O)NO)N1C(=O)Cc2ccccc21,0,-3.55742,0,8,PR_run,SMILES-RNN,0_8-1
PR,9,COc1ccc(C(=O)N2CCn3cc(-c4csc(-c5ccoc5)n4)nc3C2)cc1,COc1ccc(C(=O)N2CCn3cc(-c4csc(-c5ccoc5)n4)nc3C2)cc1,0,-5.41825,0,9,PR_run,SMILES-RNN,0_9-1
PR,10,Nc1ccc(-c2cc(-n3cnc4ccc(O)nc43)nc(N)n2)cc1,Nc1ccc(-c2cc(-n3cnc4ccc(O)nc43)nc(N)n2)cc1,0,-6.41728,0,10,PR_run,SMILES-RNN,0_10-1
PR,11,CCc1ccc(C2CC3CCC(C2C(=O)OC)N3C)cc1,CCc1ccc(C2CC3CCC(C2C(=O)OC)N3C)cc1,0,-5.74804,0,11,PR_run,SMILES-RNN,0_11-7
PR,12,CC(=O)N1CCc2cc(-c3ccnc(Nc4ccc(F)c(N5CCN(C)CC5)c4)n3)cnc21,CC(=O)N1CCc2cc(-c3ccnc(Nc4ccc(F)c(N5CCN(C)CC5)c4)n3)cnc21,0,-6.24462,0,12,PR_run,SMILES-RNN,0_12-1
PR,13,O=C(NS(=O)(=O)N1CCC1)c1cc(C(F)(F)F)ccc1Cl,O=C(NS(=O)(=O)N1CCC1)c1cc(C(F)(F)F)ccc1Cl,0,-5.06726,0,13,PR_run,SMILES-RNN,0_13-1
PR,14,CCC(C)(C)NC(=O)n1ccc2nc(NC(=O)c3ccco3)ccc21,CCC(C)(C)NC(=O)n1ccc2nc(NC(=O)c3ccco3)ccc21,0,-5.2527,0,14,PR_run,SMILES-RNN,0_14-1
