canonical_isomeric_smiles,canonical_formal_charge,PR_occurrence_count,PR_raw_smiles_count,PR_best_score,PR_median_score,PR_mean_score,PR_score_std,PR_worst_score,PR_score_range,PR_best_source_row,PR_best_raw_smiles,PR_first_step,PR_last_step,PR_best_step,PR_best_batch_idx,PR_best_variant_id
NC(=O)c1ccc(NC(=O)CCCNC2CCC(c3ccc(O)cc3)C2O)cc1,0,3,1,-11.5797,-11.5797,-11.5797,0.0,-11.5797,0.0,18184,NC(=O)c1ccc(NC(=O)CCCNC2CCC(c3ccc(O)cc3)C2O)cc1,284,289,284,8,284_8-2
Oc1ccc(C2CCNC(NCC=CC=Cc3ccc4c(c3)OCO4)C2O)cc1,0,2,1,-11.3845,-11.3845,-11.3845,0.0,-11.3845,0.0,17911,Oc1ccc(C2CCNC(NCC=CC=Cc3ccc4c(c3)OCO4)C2O)cc1,279,282,279,55,279_55-1
O=C(CNCCNC1CC(c2ccc(O)cc2)C1O)Nc1ccc2c(c1)OCO2,0,2,1,-11.1495,-11.1495,-11.1495,0.0,-11.1495,0.0,18648,O=C(CNCCNC1CC(c2ccc(O)cc2)C1O)Nc1ccc2c(c1)OCO2,291,298,291,24,291_24-5
NC(=O)c1ccc(NC(=O)CCNC2CCC(n3ccc(C(N)=O)c3)C2O)cc1,0,3,1,-11.1427,-11.1427,-11.1427,0.0,-11.1427,0.0,18291,NC(=O)c1ccc(NC(=O)CCNC2CCC(n3ccc(C(N)=O)c3)C2O)cc1,285,288,285,51,285_51-4
NC(=O)c1ccc(NC(=O)CNC2CCC(c3ccc(C(N)=O)cc3)C2O)cc1,0,4,1,-11.1185,-11.1185,-11.1185,0.0,-11.1185,0.0,17505,NC(=O)c1ccc(NC(=O)CNC2CCC(c3ccc(C(N)=O)cc3)C2O)cc1,273,279,273,33,273_33-3
O=C(CNCCNC1CCC(c2ccc(O)cc2)C1O)c1ccc2c(c1)OCO2,0,7,1,-11.1115,-11.1115,-11.111499999999998,1.9186846773327266e-15,-11.1115,0.0,11050,O=C(CNCCNC1CCC(c2ccc(O)cc2)C1O)c1ccc2c(c1)OCO2,172,182,172,42,172_42-7
NC(=O)c1ccc(NC(=O)CCNC2CCC(c3ccc(C(N)=O)cc3)C2O)cc1,0,2,1,-11.0932,-11.0932,-11.0932,0.0,-11.0932,0.0,17307,NC(=O)c1ccc(NC(=O)CCNC2CCC(c3ccc(C(N)=O)cc3)C2O)cc1,270,279,270,27,270_27-4
O=C(CNCCCN1CCC(c2ccc(O)cc2)C1)Nc1c[nH]c2ccccc12,0,3,1,-11.0809,-11.0809,-11.0809,0.0,-11.0809,0.0,13178,O=C(CNCCCN1CCC(c2ccc(O)cc2)C1)Nc1c[nH]c2ccccc12,205,208,205,58,205_58-3
NC(=O)c1ccc(C2NCCC(NCC=CCc3ccccc3)C2O)cc1,0,2,1,-11.0456,-11.0456,-11.0456,0.0,-11.0456,0.0,17717,NC(=O)c1ccc(C2NCCC(NCC=CCc3ccccc3)C2O)cc1,276,284,276,53,276_53-1
NC(=O)c1ccc(CC=CCNC2CCC(c3ccc(C(N)=O)cc3)C2O)cc1,0,4,1,-10.9914,-10.9914,-10.9914,0.0,-10.9914,0.0,17388,NC(=O)c1ccc(CC=CCNC2CCC(c3ccc(C(N)=O)cc3)C2O)cc1,271,284,271,44,271_44-5
Oc1ccc(C2NCC(NCCNCCc3c[nH]c4cc(O)ccc34)C2O)cc1,0,2,1,-10.9572,-10.9572,-10.9572,0.0,-10.9572,0.0,12974,Oc1ccc(C2NCC(NCCNCCc3c[nH]c4cc(O)ccc34)C2O)cc1,202,204,202,46,202_46-7
O=C(CNCCNC1CCC(c2ccc(O)cc2)C1O)Nc1c[nH]c2ccccc12,0,3,1,-10.8965,-10.8965,-10.896499999999998,2.175583928816829e-15,-10.8965,0.0,13154,O=C(CNCCNC1CCC(c2ccc(O)cc2)C1O)Nc1c[nH]c2ccccc12,205,210,205,34,205_34-5
