population,exclusion_reason,source_row,smiles,PPS_r_i_docking_score,PR_r_i_docking_score
PPS,invalid_flag,11,O=S(CCNc1c2c3n(c(N)nc3cc(F)c2)nc1)(=O)c1c(C)n(C)nc1C,0.0,
PPS,invalid_flag,37,c1(N2C(C)CN(c3nc(NCC4CCNCC4)c(-c4sc3cc(C#N)cc4)cc2)CCOC(C)(C)C)nncn1,0.0,
PPS,invalid_flag,43,C(#N)c1cn(C2CN(c3ncc(Nc4nc5c(cn5)cccc5OCC)c(=O)n3C)CCNC2)cc1,0.0,
PPS,nonnegative_score,81,COc1cc(C#Cc2ccc3[nH]c(-c4ccc(O)cc4)c(C(=O)O)c(=O)c3c2)cc(OC)c1,0.0,
PPS,invalid_flag,92,c12c(O)cc(-c3cc4c(cc3)OCCO4)cc1c(=O)c1c3c(o1)cccc3CO2,0.0,
PPS,invalid_flag,96,C1CC(O)c2ccc(-c3cc4c(cc3)S(=O)(=O)c3c(cc(-c5cn(C)nc5)cc3)c4)cc2N1,0.0,
PPS,invalid_flag,106,CS(c1cc(N(Cc2nc3ccccc3c(=O)n2-c2ccccc2)c(=O)n(-c2cccc(C)c2)n1)(=O)=O,0.0,
PPS,invalid_flag,111,Fc1ccc(C2(CNC(C3NC4CC3CC(N4CC3(c4ccccc4)C3)=O)CC2)F)cc1,0.0,
PPS,invalid_flag,133,c1(C2CC2)ccc(C(NC(Nc2cc3c(c(NC4CC4F)n[nH]3)cn2)=O)nc1,0.0,
PPS,invalid_flag,138,c1c(OCCNC(=O)CCN2C(=O)CCC2=O)ccc1,0.0,
PPS,invalid_flag,142,c1(OC(CN(C)C)C)c(F)c(F)c(-c2c(S(=O)(N)=O)c(F)ccc2)c1,0.0,
PPS,invalid_flag,146,C(=O)(c1c(N)n(-c2cc3c(cc2)CCC3)c(=O)c1C#N)NCC12CC3CC(CC(C1)C3)C2,0.0,
PPS,invalid_flag,163,c1c(CNC(=O)Cn2c3c(n(C)c(=O)n(C)c3=O)nc2-c2ccccc2)ccc1,0.0,
PPS,invalid_flag,171,c1c(C)c2c(n(C)c1C(OC1CCN(CCCC)CC1)=O)CCC2,0.0,
PPS,invalid_flag,184,c1(=O)c2c(nc3ccc(-c4ccc(Cl)cc4)cn23)oc1Nc1cn(C)nc1,0.0,
PPS,invalid_flag,187,CN1Cc2c(c3c(n2-c2c(F)ccc(F)c2)nc(O)c3nccc1,0.0,
PPS,invalid_flag,190,C1CCC(CCN2C3C4(O)C5(CC2)C(=O)C(C)(CCC6)C1(OC)C=C3)(=O)OC,0.0,
PPS,invalid_flag,218,c12[nH]cc(CN3CC(NC(c4c(C)cc(F)cc4)=O)CC(=O)N3CCC)cc1cccc2,0.0,
PPS,invalid_flag,222,N1(C(N)=O)CCN(C(=O)Oc2ccc3c(c2C=Cc2ncc(N)cc2)CCCC3N(S(c2c3ccccc3ncc2)(=O)=O)CC1,0.0,
PPS,invalid_flag,231,Brc1c(C)c(C(=O)C=Cc2ccc([N+]([O-])=O)cc2)cc1,0.0,
PPS,invalid_flag,233,C1C(CNC(c2ccc(Nc3nn4c(cccc4[N+](=O)[O-])n3)cc2)=NC(=O)C(C(C)C)S1,0.0,
PPS,invalid_flag,235,c1(COc2cc(-c3nn[nH]n3)ccc2)c(CC)cc(C(NC(=O)C)C)c1,0.0,
PPS,invalid_flag,239,c1c(CCN(C)C)cc(OCCCNC)c1,0.0,
PPS,invalid_flag,245,C1CCCN2C(CN(C(=O)Cc3ccccc3)CCCC2C(CNC(=O)C(C)(C)C)C1,0.0,
