crossdock_selection_rank,Unnamed: 0,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,PR_r_i_docking_score,PR_r_i_glide_ecoul,PR_r_i_glide_emodel,PR_r_i_glide_energy,PR_r_i_glide_erotb,PR_r_i_glide_esite,PR_r_i_glide_evdw,PR_r_i_glide_gscore,PR_r_i_glide_hbond,PR_r_i_glide_ligand_efficiency,PR_r_i_glide_ligand_efficiency_ln,PR_r_i_glide_ligand_efficiency_sa,PR_r_i_glide_lipo,PR_r_i_glide_metal,PR_r_i_glide_rewards,PR_NetCharge,PR_PositiveCharge,PR_NegativeCharge,PR_best_variant,norm_PR_r_i_docking_score,amean,filter,passes_diversity_filter,filtered_amean,score_time,canon_smiles,PAINS,BRENK,molecule_id,source_run,target_sdfgz,target_exists,target_size_bytes,target_ready,pipeline_ready,pipeline_status,pipeline_error,ligand_prep_mode,input_smiles,ligprep_status,source_ligand_file,prepared_ligand_file,prepared_variant_count,job_dir,pose_file,score_csv,best_score_csv,best_docking_score
1,15907,SMILES-RNN,PR_run,248,35,1188526.0463211536,NC(=O)c1ccc(NC(=O)CNCC2NC(CCc3ccc(O)cc3)C2O)cc1,True,1,True,0,0.3607059258740457,3.4137819451610687,0.3533000000000007,398.463,29.0,372.2550000000002,6.0,6.0,8.0,9.0,2.0,1.0,3.0,136.71,-3.060481945161068,0.0,C21H26N4O4,838.7645278388138,4.0,0.0,-12.1111,-29.6738,-119.16,-74.0802,1.10517,-0.0882462,-44.4064,-12.147,-1.81637,-0.417626,-2.77314,-1.28308,-4.02301,0.0,-1.10423,1.0,1.0,0.0,248_35-2,1.0,1.0,1.0,False,0.98,4536.569726228714,NC(=O)c1ccc(NC(=O)CNCC2NC(CCc3ccc(O)cc3)C2O)cc1,False,False,248_35-2,PR,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/248/248_35-2_lib.sdfgz,True,2264,True,True,completed,,off,,not_requested,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/248/248_35-2_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0001_248_35-2/input/248_35-2_lib.sdf,1,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0001_248_35-2,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0001_248_35-2/docking_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0001_248_35-2/docking_scores.csv,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0001_248_35-2/best_docking_score.csv,-9.41149
2,18382,SMILES-RNN,PR_run,287,14,1383400.1649034023,NC(=O)c1ccc(CC(O)C(O)CCN2CCC(c3ccc(O)cc3)C(O)C2)cc1,True,1,True,0,0.4384926964390645,3.5329083244561943,0.9958999999999988,414.50200000000007,30.0,384.2620000000002,6.0,5.0,7.0,8.0,2.0,1.0,3.0,127.25,-2.5370083244561954,0.0,C23H30N2O5,824.4920367918959,6.0,0.0,-12.1023,-24.8426,-109.365,-69.339,0.800681,-0.0847879,-44.4964,-12.1159,-2.0287,-0.403409,-2.74977,-1.25349,-4.20907,0.0,-0.642785,1.0,1.0,0.0,287_14-1,0.9992733938288016,0.9992733938288016,1.0,False,0.8393896508161933,5712.583511829376,NC(=O)c1ccc(CC(O)C(O)CCN2CCC(c3ccc(O)cc3)C(O)C2)cc1,False,False,287_14-1,PR,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/287/287_14-1_lib.sdfgz,True,2372,True,True,completed,,off,,not_requested,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/287/287_14-1_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0002_287_14-1/input/287_14-1_lib.sdf,1,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0002_287_14-1,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0002_287_14-1/docking_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0002_287_14-1/docking_scores.csv,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0002_287_14-1/best_docking_score.csv,-8.75785
3,12561,SMILES-RNN,PR_run,196,17,917490.2300350666,Oc1ccc(C2NCC(NCC(NCCCc3ccc4c(c3)OCO4)=C3CCc4cc(O)ccc43)C2O)cc1,True,1,True,0,0.2339814693239925,4.13090121339064,3.369800000000001,529.6370000000004,39.0,494.3570000000004,8.0,6.0,8.0,9.0,3.0,3.0,6.0,115.24,-0.7611012133906385,0.0,C31H35N3O5,1356.8304085446575,8.0,0.0,-11.9179,-25.2606,-120.84,-73.4449,0.58571,0.0,-48.1842,-12.4098,-1.57268,-0.305587,-2.55554,-1.03631,-4.37146,0.0,-0.85307,1.0,1.0,0.0,196_17-5,1.0,1.0,1.0,False,0.98,4664.132380723953,Oc1ccc(C2NCC(NCC(NCCCc3ccc4c(c3)OCO4)=C3CCc4cc(O)ccc43)C2O)cc1,False,True,196_17-5,PR,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/196/196_17-5_lib.sdfgz,True,2895,True,True,completed,,off,,not_requested,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/196/196_17-5_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0003_196_17-5/input/196_17-5_lib.sdf,1,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0003_196_17-5,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0003_196_17-5/docking_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0003_196_17-5/docking_scores.csv,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0003_196_17-5/best_docking_score.csv,-8.2212
4,18184,SMILES-RNN,PR_run,284,8,1367741.3775885105,NC(=O)c1ccc(NC(=O)CCCNC2CCC(c3ccc(O)cc3)C2O)cc1,True,1,True,0,0.4364353221294597,3.2197365417839565,2.1065,397.475,29.0,370.2590000000002,5.0,5.0,7.0,8.0,2.0,1.0,3.0,124.68,-1.113236541783957,0.0,C22H27N3O4,836.1408106049838,5.0,0.0,-11.5797,-24.5136,-107.47,-67.8192,0.986758,-0.0896063,-43.3055,-11.585,-1.32489,-0.3993,-2.65146,-1.22678,-4.30739,0.0,-1.00759,1.0,1.0,0.0,284_8-2,0.9561228955255924,0.9561228955255924,1.0,False,0.7648983164204739,4540.276321172714,NC(=O)c1ccc(NC(=O)CCCNC2CCC(c3ccc(O)cc3)C2O)cc1,False,True,284_8-2,PR,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/284/284_8-2_lib.sdfgz,True,2299,True,True,completed,,off,,not_requested,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/284/284_8-2_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0004_284_8-2/input/284_8-2_lib.sdf,1,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0004_284_8-2,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0004_284_8-2/docking_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0004_284_8-2/docking_scores.csv,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0004_284_8-2/best_docking_score.csv,-9.63767
5,18627,SMILES-RNN,PR_run,291,3,1406338.9042043686,NC(=O)c1ccc(NC(=O)CCCNC2C(O)C(c3ccc(O)cc3)C2F)cc1,True,1,True,0,0.4304645579710606,3.551332790772806,1.6644,401.4380000000001,29.0,377.24600000000015,5.0,5.0,8.0,8.0,2.0,1.0,3.0,124.68,-1.8869327907728053,0.0,C21H24FN3O4,847.2348572295061,5.0,1.0,-11.5646,-25.9117,-113.802,-71.4071,0.969331,-0.0864808,-45.4955,-11.6898,-1.40323,-0.398778,-2.64799,-1.22517,-3.90483,0.0,-1.10308,1.0,1.0,0.0,291_3-2,0.9548761053909224,0.9548761053909224,1.0,False,0.763900884312738,5740.877912044525,NC(=O)c1ccc(NC(=O)CCCNC2C(O)C(c3ccc(O)cc3)C2F)cc1,False,True,291_3-2,PR,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/291/291_3-2_lib.sdfgz,True,2239,True,True,completed,,off,,not_requested,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/291/291_3-2_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0005_291_3-2/input/291_3-2_lib.sdf,1,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0005_291_3-2,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0005_291_3-2/docking_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0005_291_3-2/docking_scores.csv,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0005_291_3-2/best_docking_score.csv,-8.95297
6,15229,SMILES-RNN,PR_run,237,61,1126803.6335115433,Oc1ccc(C=CCNCCNC2CNC(c3ccc(O)cc3)C2O)cc1,True,1,True,0,0.3935166332887448,3.737168198351295,1.3641999999999994,369.465,27.0,342.24900000000014,6.0,6.0,6.0,8.0,2.0,1.0,3.0,96.78,-2.372968198351296,0.0,C21H27N3O3,731.341981324491,6.0,0.0,-11.5319,-26.7464,-101.761,-65.5802,1.11911,0.0,-38.8338,-11.6213,-1.3903,-0.427109,-2.68444,-1.28133,-4.48052,0.0,-0.927952,2.0,2.0,0.0,237_61-6,0.9676117436796752,0.9676117436796752,1.0,False,0.9482595088060816,5332.63777256012,Oc1ccc(C=CCNCCNC2CNC(c3ccc(O)cc3)C2O)cc1,False,True,237_61-6,PR,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/237/237_61-6_lib.sdfgz,True,2259,True,True,completed,,off,,not_requested,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/237/237_61-6_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0006_237_61-6/input/237_61-6_lib.sdf,1,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0006_237_61-6,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0006_237_61-6/docking_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0006_237_61-6/docking_scores.csv,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0006_237_61-6/best_docking_score.csv,-8.00934
7,16752,SMILES-RNN,PR_run,261,48,1255569.3204188347,Oc1ccc(C2CCNC(CCC(O)Cc3ccc(O)cc3C=CCc3ccccc3)C2O)cc1,True,1,True,0,0.3145927132903043,4.0169640764091925,4.543900000000004,473.61300000000017,35.0,438.3330000000003,5.0,5.0,5.0,9.0,3.0,1.0,4.0,92.95,0.5269359235908118,0.0,C30H35NO4,1097.0991804027503,5.0,0.0,-11.5304,-24.6868,-108.687,-70.7281,0.718694,0.0,-46.0413,-11.5349,-1.46906,-0.32944,-2.53118,-1.07762,-4.49568,0.0,-0.283812,1.0,1.0,0.0,261_48-6,0.9520522495892196,0.9520522495892196,1.0,False,0.9330112045974354,5535.814265727997,Oc1ccc(C2CCNC(CCC(O)Cc3ccc(O)cc3C=CCc3ccccc3)C2O)cc1,False,False,261_48-6,PR,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/261/261_48-6_lib.sdfgz,True,2593,True,True,completed,,off,,not_requested,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/261/261_48-6_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0007_261_48-6/input/261_48-6_lib.sdf,1,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0007_261_48-6,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0007_261_48-6/docking_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0007_261_48-6/docking_scores.csv,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0007_261_48-6/best_docking_score.csv,-11.2095
8,18570,SMILES-RNN,PR_run,290,10,1400926.84308815,NC(=O)c1ccc(C(O)CNCCCCN2CCC(c3ccc(O)cc3)C(O)C2)cc1,True,1,True,0,0.3686921571906392,3.2956741811054497,1.7446999999999984,427.545,31.0,394.2810000000002,6.0,5.0,7.0,10.0,2.0,1.0,3.0,119.05,-1.5509741811054514,0.0,C24H33N3O4,825.7229824899104,8.0,0.0,-11.53,-24.9068,-108.81,-66.4626,0.969356,-0.0938009,-41.5558,-11.53,-1.94309,-0.371937,-2.60038,-1.16839,-4.16838,0.0,-0.480325,2.0,2.0,0.0,290_10-7,0.9520192220359834,0.9520192220359834,1.0,False,0.8948980687138244,5411.738835811615,NC(=O)c1ccc(C(O)CNCCCCN2CCC(c3ccc(O)cc3)C(O)C2)cc1,False,True,290_10-7,PR,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/290/290_10-7_lib.sdfgz,True,2439,True,True,completed,,off,,not_requested,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/290/290_10-7_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0008_290_10-7/input/290_10-7_lib.sdf,1,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0008_290_10-7,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0008_290_10-7/docking_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0008_290_10-7/docking_scores.csv,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0008_290_10-7/best_docking_score.csv,-9.51504
9,18217,SMILES-RNN,PR_run,284,41,1367741.3775885105,NC(=O)c1ccc(CC(=O)NCCNC2CCC(c3ccc(O)cc3)C2O)cc1,True,1,True,0,0.4259280944129625,3.280809900132926,1.0464999999999995,397.475,29.0,370.2590000000002,5.0,5.0,7.0,8.0,2.0,1.0,3.0,124.68,-2.2343099001329265,0.0,C22H27N3O4,836.1408106049838,4.0,0.0,-11.5092,-25.5902,-103.557,-64.6499,0.986758,-0.111704,-39.0597,-11.5335,-1.37876,-0.39687,-2.63532,-1.21931,-4.2074,0.0,-1.03089,1.0,1.0,0.0,284_41-3,0.9503017892676964,0.9503017892676964,1.0,False,0.9312957534823424,4540.276321172714,NC(=O)c1ccc(CC(=O)NCCNC2CCC(c3ccc(O)cc3)C2O)cc1,False,True,284_41-3,PR,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/284/284_41-3_lib.sdfgz,True,2292,True,True,completed,,off,,not_requested,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/284/284_41-3_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0009_284_41-3/input/284_41-3_lib.sdf,1,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0009_284_41-3,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0009_284_41-3/docking_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0009_284_41-3/docking_scores.csv,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0009_284_41-3/best_docking_score.csv,-11.3083
10,17751,SMILES-RNN,PR_run,277,23,1331223.3345279694,NC(=O)c1ccc(C2CCNC(NCC=CCc3ccc(C(=O)O)cc3)C2O)cc1,True,1,True,0,0.4222775830125866,3.7535730252556414,1.6360999999999997,409.4860000000001,30.0,382.27000000000015,5.0,5.0,7.0,8.0,2.0,1.0,3.0,124.68,-2.117473025255641,0.0,C23H27N3O4,893.669164714026,3.0,0.0,-11.4635,-27.7347,-102.727,-64.26,0.70463,-0.0851251,-36.5253,-11.5959,-1.78738,-0.382116,-2.60463,-1.18732,-3.53453,0.0,-1.06719,0.0,1.0,-1.0,277_23-1,0.9465283913104507,0.9465283913104507,1.0,False,0.9086672556580326,4829.065973997116,NC(=O)c1ccc(C2CCNC(NCC=CCc3ccc(C(=O)O)cc3)C2O)cc1,False,True,277_23-1,PR,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/277/277_23-1_lib.sdfgz,True,2412,True,True,completed,,off,,not_requested,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/277/277_23-1_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0010_277_23-1/input/277_23-1_lib.sdf,1,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0010_277_23-1,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0010_277_23-1/docking_lib.sdfgz,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0010_277_23-1/docking_scores.csv,/home/andy/proj/DProject_Workspace/testing/tempresults/crossdocking/L_PR_to_R_PPS/jobs/0010_277_23-1/best_docking_score.csv,-6.74459
