" Method" , " Entries" , " RMS" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 0.9550" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 0.9723" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 0.3681" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 0.9938" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.2249" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.3610" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 0.8538" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 0.4273" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.2233" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.5445" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.6179" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.4987" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 0.7931" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.2504" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.0400" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 0.8542" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.0187" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.5747" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.0277" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 0.4839" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.2691" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.3562" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.0063" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 0.8284" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.2600" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.3529" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.4054" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.5359" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.5401" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.2571" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.6870" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.0179" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.2642" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.0912" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.0395" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 0.6328" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.3498" 
" Maximum Common Structure" , " *MYH7_PPS_OM - prepared_ligand MYH7_PPS_OM - prepared_ligand" , " 1.2488" 
