" Method" , " Entries" , " RMS"
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.5486" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.9818" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.5155" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.6631" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.6616" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.7350" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.7743" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.6530" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.7800" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.8119" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.7601" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.5214" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 2.1322" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.9408" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.9182" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 2.4606" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 2.1723" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.7792" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.7576" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.7172" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.8265" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.7985" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.7791" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.7774" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.9222" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.7995" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.3469" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.8980" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.6153" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 2.0468" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.8599" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.9036" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.7193" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.7338" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.7156" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 1.9933" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 2.3134" 
" Maximum Common Structure" , " *MYH7_PR_OM - prepared_ligand MYH7_PR_OM - prepared_ligand" , " 2.0277" 
