"Stars","Title","Entry ID","Entry Name","Date Added","Date Modified","PDB CRYST1 a","PDB CRYST1 b","PDB CRYST1 c","PDB CRYST1 alpha","PDB CRYST1 beta","PDB CRYST1 gamma","PDB CRYST1 Space Group","PDB CRYST1 z","PDB format version","Source File Index","Source Path","Source File","prepared","prepared with version","created disulfur","preprocess pH","het states","Potential Energy-S-OPLS","RMS Derivative-S-OPLS","Max Derivative-S-OPLS","Stretch Energy-S-OPLS","Bend Energy-S-OPLS","LJ-14 Energy-S-OPLS","El-14 Energy-S-OPLS","Van der Waals Energy-S-OPLS","Electrostatic Energy-S-OPLS","Dihedral Energy-S-OPLS","target temperature","Job Name","source file","source file index","mmshare version","input","cmdline","Ionization Penalty","Ionization Penalty Charging","Ionization Penalty Neutral","State Penalty","Charging Adjusted Penalty","Tot Q","Tot abs Q","Chemistry Notes","flags","Force Field","Energy","Chiralities Consistent","Variant","grid version","gridbox xcent","gridbox ycent","gridbox zcent","gridbox xrange","gridbox yrange","gridbox zrange","gridbox ligxrange","gridbox ligyrange","gridbox ligzrange","grid type","receptor","glide gridfile","glide lignum","glide rotatable bonds","docking score","glide ligand efficiency","glide ligand efficiency sa","glide ligand efficiency ln","glide gscore","glide lipo","glide hbond","glide metal","glide rewards","glide evdw","glide ecoul","glide erotb","glide esite","glide emodel","glide energy","glide einternal","glide confnum","glide posenum","glide eff state penalty"
,"MYH7_PR_OM - prepared_ligand","10","MYH7_PR_OM.1_ligand","18 Jun 2026 19:58","18 Jun 2026 20:03",134.412,134.412,134.412,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PR_Auto_Redock","PR_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3216.316,0.091,1.935,381.870,1600.787,3674.651,1393.086,-7550.181,-4371.328,1550.647,298.000,"PR_Auto_Redock","1_PR_Ligprep.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.2035,0.1701,0.0333,0.2000,0.370,1,1,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",56.622,true,"MYH7_PR_OM - prepared_ligand-1",,,,,,,,,,,"",,"PR_Auto_Grid",1,8,-5.823,-0.201,-0.617,-1.333,-6.023,-2.149,-0.054,0.000,-1.705,-43.090,-5.392,0.848,0.000,-60.899,-48.483,12.443,143,302,0.200
,"MYH7_PR_OM - prepared_ligand","11","MYH7_PR_OM.1_ligand","18 Jun 2026 19:58","18 Jun 2026 20:03",134.412,134.412,134.412,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PR_Auto_Redock","PR_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3216.316,0.091,1.935,381.870,1600.787,3674.651,1393.086,-7550.181,-4371.328,1550.647,298.000,"PR_Auto_Redock","1_PR_Ligprep.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.8607,0.0000,0.8607,0.8736,0.874,0,0,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",63.759,true,"MYH7_PR_OM - prepared_ligand-2",,,,,,,,,,,"",,"PR_Auto_Grid",2,8,-5.823,-0.201,-0.617,-1.333,-6.697,-2.682,-0.608,0.000,-1.508,-40.715,-4.585,0.852,-0.027,-60.542,-45.300,7.908,53,314,0.874
,"MYH7_PR_OM - prepared_ligand","12","MYH7_PR_OM.1_ligand","18 Jun 2026 19:58","18 Jun 2026 20:03",134.412,134.412,134.412,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PR_Auto_Redock","PR_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3216.316,0.091,1.935,381.870,1600.787,3674.651,1393.086,-7550.181,-4371.328,1550.647,298.000,"PR_Auto_Redock","1_PR_Ligprep.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.2035,0.1701,0.0333,0.2000,0.370,1,1,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",56.622,true,"MYH7_PR_OM - prepared_ligand-1",,,,,,,,,,,"",,"PR_Auto_Grid",1,8,-5.798,-0.200,-0.614,-1.328,-5.998,-1.709,0.000,0.000,-1.681,-42.850,-8.330,0.848,-0.064,-66.212,-51.180,7.159,91,138,0.200
,"MYH7_PR_OM - prepared_ligand","13","MYH7_PR_OM.1_ligand","18 Jun 2026 19:58","18 Jun 2026 20:03",134.412,134.412,134.412,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PR_Auto_Redock","PR_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3216.316,0.091,1.935,381.870,1600.787,3674.651,1393.086,-7550.181,-4371.328,1550.647,298.000,"PR_Auto_Redock","1_PR_Ligprep.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.8607,0.0000,0.8607,0.8736,0.874,0,0,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",63.759,true,"MYH7_PR_OM - prepared_ligand-2",,,,,,,,,,,"",,"PR_Auto_Grid",2,8,-5.569,-0.192,-0.590,-1.275,-6.443,-2.340,-0.312,0.000,-1.862,-42.261,-4.140,0.852,-0.046,-61.491,-46.401,7.864,195,166,0.874
,"MYH7_PR_OM - prepared_ligand","14","MYH7_PR_OM.1_ligand","18 Jun 2026 19:58","18 Jun 2026 20:03",134.412,134.412,134.412,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PR_Auto_Redock","PR_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3216.316,0.091,1.935,381.870,1600.787,3674.651,1393.086,-7550.181,-4371.328,1550.647,298.000,"PR_Auto_Redock","1_PR_Ligprep.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.2035,0.1701,0.0333,0.2000,0.370,1,1,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",56.622,true,"MYH7_PR_OM - prepared_ligand-1",,,,,,,,,,,"",,"PR_Auto_Grid",1,8,-5.517,-0.190,-0.585,-1.263,-5.717,-1.433,-0.377,0.000,-1.774,-38.140,-6.965,0.848,-0.029,-60.114,-45.105,5.329,135,338,0.200
,"MYH7_PR_OM - prepared_ligand","15","MYH7_PR_OM.1_ligand","18 Jun 2026 19:58","18 Jun 2026 20:03",134.412,134.412,134.412,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PR_Auto_Redock","PR_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3216.316,0.091,1.935,381.870,1600.787,3674.651,1393.086,-7550.181,-4371.328,1550.647,298.000,"PR_Auto_Redock","1_PR_Ligprep.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.2035,0.1701,0.0333,0.2000,0.370,1,1,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",56.622,true,"MYH7_PR_OM - prepared_ligand-1",,,,,,,,,,,"",,"PR_Auto_Grid",1,8,-5.466,-0.188,-0.579,-1.252,-5.666,-2.229,-0.224,0.000,-1.469,-45.192,-2.212,0.848,-0.001,-60.878,-47.404,7.525,188,394,0.200
,"MYH7_PR_OM - prepared_ligand","16","MYH7_PR_OM.1_ligand","18 Jun 2026 19:58","18 Jun 2026 20:03",134.412,134.412,134.412,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PR_Auto_Redock","PR_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3216.316,0.091,1.935,381.870,1600.787,3674.651,1393.086,-7550.181,-4371.328,1550.647,298.000,"PR_Auto_Redock","1_PR_Ligprep.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.2035,0.1701,0.0333,0.2000,0.370,1,1,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",56.622,true,"MYH7_PR_OM - prepared_ligand-1",,,,,,,,,,,"",,"PR_Auto_Grid",1,8,-5.353,-0.185,-0.567,-1.226,-5.553,-2.050,0.000,0.000,-1.214,-41.335,-6.917,0.848,-0.033,-63.220,-48.252,4.373,156,283,0.200
,"MYH7_PR_OM - prepared_ligand","17","MYH7_PR_OM.1_ligand","18 Jun 2026 19:58","18 Jun 2026 20:03",134.412,134.412,134.412,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PR_Auto_Redock","PR_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3216.316,0.091,1.935,381.870,1600.787,3674.651,1393.086,-7550.181,-4371.328,1550.647,298.000,"PR_Auto_Redock","1_PR_Ligprep.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.8923,1.8923,0.0000,1.8674,3.760,2,2,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",59.908,true,"MYH7_PR_OM - prepared_ligand-3",,,,,,,,,,,"",,"PR_Auto_Grid",3,8,-5.244,-0.181,-0.556,-1.201,-7.112,-2.327,-0.320,0.000,-1.561,-45.425,-9.844,0.844,0.000,-74.172,-55.270,5.506,91,270,1.867
,"MYH7_PR_OM - prepared_ligand","18","MYH7_PR_OM.1_ligand","18 Jun 2026 19:58","18 Jun 2026 20:03",134.412,134.412,134.412,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PR_Auto_Redock","PR_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3216.316,0.091,1.935,381.870,1600.787,3674.651,1393.086,-7550.181,-4371.328,1550.647,298.000,"PR_Auto_Redock","1_PR_Ligprep.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.2035,0.1701,0.0333,0.2000,0.370,1,1,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",56.622,true,"MYH7_PR_OM - prepared_ligand-1",,,,,,,,,,,"",,"PR_Auto_Grid",1,8,-5.137,-0.177,-0.544,-1.176,-5.337,-1.462,-0.287,0.000,-1.175,-40.555,-7.843,0.848,-0.057,-63.059,-48.397,3.634,175,349,0.200
,"MYH7_PR_OM - prepared_ligand","19","MYH7_PR_OM.1_ligand","18 Jun 2026 19:58","18 Jun 2026 20:03",134.412,134.412,134.412,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PR_Auto_Redock","PR_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3216.316,0.091,1.935,381.870,1600.787,3674.651,1393.086,-7550.181,-4371.328,1550.647,298.000,"PR_Auto_Redock","1_PR_Ligprep.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.2035,0.1701,0.0333,0.2000,0.370,1,1,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",56.622,true,"MYH7_PR_OM - prepared_ligand-1",,,,,,,,,,,"",,"PR_Auto_Grid",1,8,-5.061,-0.175,-0.536,-1.159,-5.261,-1.466,-0.556,0.000,-1.166,-39.822,-5.715,0.848,-0.072,-59.215,-45.537,5.197,60,270,0.200
