pose_index,pose_read_status,docking_score,population_state,molecule_id,crossdock_arm
0,valid,-16.0806,PPS,354_49-1,L_PPS_to_R_PR
1,valid,-15.8853,PPS,301_44-1,L_PPS_to_R_PR
2,valid,-15.6897,PPS,244_14-6,L_PPS_to_R_PR
3,valid,-15.5162,PPS,251_62-4,L_PPS_to_R_PR
4,valid,-15.2959,PPS,237_40-1,L_PPS_to_R_PR
5,valid,-15.2575,PPS,247_46-7,L_PPS_to_R_PR
6,valid,-15.2394,PPS,195_36-4,L_PPS_to_R_PR
7,valid,-15.2269,PPS,235_46-4,L_PPS_to_R_PR
8,valid,-15.158,PPS,198_56-5,L_PPS_to_R_PR
9,valid,-15.0351,PPS,318_5-1,L_PPS_to_R_PR
10,valid,-15.0187,PPS,279_61-7,L_PPS_to_R_PR
11,valid,-14.9884,PPS,331_13-1,L_PPS_to_R_PR
12,valid,-14.9627,PPS,345_41-1,L_PPS_to_R_PR
13,valid,-14.925,PPS,242_45-4,L_PPS_to_R_PR
14,valid,-14.9048,PPS,333_31-6,L_PPS_to_R_PR
15,valid,-14.894,PPS,348_11-1,L_PPS_to_R_PR
16,valid,-14.8933,PPS,325_60-1,L_PPS_to_R_PR
17,valid,-14.8317,PPS,264_40-3,L_PPS_to_R_PR
18,valid,-14.7958,PPS,245_42-2,L_PPS_to_R_PR
19,valid,-14.7847,PPS,166_38-4,L_PPS_to_R_PR
20,valid,-14.7782,PPS,317_34-3,L_PPS_to_R_PR
21,valid,-14.7762,PPS,307_10-3,L_PPS_to_R_PR
22,valid,-14.7524,PPS,329_50-1,L_PPS_to_R_PR
23,valid,-14.7491,PPS,67_7-8,L_PPS_to_R_PR
24,valid,-14.7282,PPS,177_18-3,L_PPS_to_R_PR
25,valid,-14.7258,PPS,345_33-2,L_PPS_to_R_PR
26,valid,-14.7078,PPS,266_3-1,L_PPS_to_R_PR
27,valid,-14.7038,PPS,245_37-8,L_PPS_to_R_PR
28,valid,-14.6993,PPS,244_7-1,L_PPS_to_R_PR
29,valid,-14.6946,PPS,348_24-1,L_PPS_to_R_PR
30,valid,-14.6875,PPS,240_26-8,L_PPS_to_R_PR
31,valid,-14.6749,PPS,244_3-2,L_PPS_to_R_PR
32,valid,-14.6699,PPS,293_56-1,L_PPS_to_R_PR
33,valid,-14.6688,PPS,330_27-3,L_PPS_to_R_PR
34,valid,-14.6652,PPS,339_10-3,L_PPS_to_R_PR
35,valid,-14.6569,PPS,259_60-3,L_PPS_to_R_PR
36,valid,-14.649,PPS,266_45-1,L_PPS_to_R_PR
37,valid,-14.646,PPS,234_3-1,L_PPS_to_R_PR
38,valid,-14.6253,PPS,329_26-1,L_PPS_to_R_PR
39,valid,-14.5849,PPS,321_2-3,L_PPS_to_R_PR
40,valid,-14.5801,PPS,352_27-4,L_PPS_to_R_PR
41,valid,-14.5599,PPS,237_57-1,L_PPS_to_R_PR
42,valid,-14.5531,PPS,286_16-5,L_PPS_to_R_PR
43,valid,-14.5461,PPS,327_35-1,L_PPS_to_R_PR
44,valid,-14.5422,PPS,315_39-1,L_PPS_to_R_PR
45,valid,-14.5412,PPS,319_19-3,L_PPS_to_R_PR
46,valid,-14.535,PPS,201_35-10,L_PPS_to_R_PR
47,valid,-14.5293,PPS,242_62-4,L_PPS_to_R_PR
48,valid,-14.5216,PPS,325_1-2,L_PPS_to_R_PR
49,valid,-14.5199,PPS,244_38-5,L_PPS_to_R_PR
50,valid,-14.5019,PPS,255_6-3,L_PPS_to_R_PR
51,valid,-14.5009,PPS,259_7-3,L_PPS_to_R_PR
52,valid,-14.4867,PPS,325_17-1,L_PPS_to_R_PR
53,valid,-14.4825,PPS,352_45-1,L_PPS_to_R_PR
54,valid,-14.4753,PPS,283_26-5,L_PPS_to_R_PR
55,valid,-14.472,PPS,295_3-1,L_PPS_to_R_PR
56,valid,-14.4682,PPS,240_51-4,L_PPS_to_R_PR
57,valid,-14.4628,PPS,325_25-1,L_PPS_to_R_PR
58,valid,-14.4488,PPS,290_46-1,L_PPS_to_R_PR
59,valid,-14.4476,PPS,278_58-1,L_PPS_to_R_PR
60,valid,-14.4425,PPS,329_8-4,L_PPS_to_R_PR
61,valid,-14.4421,PPS,307_53-1,L_PPS_to_R_PR
62,valid,-14.432,PPS,278_5-3,L_PPS_to_R_PR
63,valid,-14.4222,PPS,291_58-1,L_PPS_to_R_PR
64,valid,-14.4219,PPS,353_57-3,L_PPS_to_R_PR
65,valid,-14.4208,PPS,189_14-1,L_PPS_to_R_PR
66,valid,-14.4198,PPS,339_20-2,L_PPS_to_R_PR
67,valid,-14.4149,PPS,276_9-1,L_PPS_to_R_PR
68,valid,-14.4139,PPS,283_28-3,L_PPS_to_R_PR
